mes_ano,novos_casos,novas_mortes
2020-01,30364,0
2020-02,9693,0
2020-03,48096,762
2020-04,286554,19863
2020-05,1437195,80131
2020-06,2893720,101778
2020-07,4042139,107527
2020-08,3978567,94057
2020-09,2878310,73238
2020-10,2308982,51534
2020-11,2537900,43121
2020-12,4252836,70411
2021-01,4858695,93275
2021-02,4278682,95560
2021-03,7022234,213475
2021-04,6074191,266850
2021-05,5971427,189585
2021-06,6315108,177099
2021-07,4311631,122898
2021-08,2762420,78306
2021-09,2080756,54419
2021-10,1214137,36647
2021-11,889173,22004
2021-12,599153,13937
